Grid_ID,Profile_Count
3,135
4,99
8,685
9,44
24,797
28,4419
29,9611
30,3637
33,2
34,160
35,108
44,435
45,251
47,786
48,3184
49,6244
50,8989
51,1409
53,893
54,6708
55,4400
56,3
65,829
66,2987
67,2206
68,2912
69,5677
70,6858
71,1759
72,43
73,4126
74,8208
75,2998
76,101
86,171
87,2159
88,2184
89,3344
90,4409
91,2369
92,878
93,1960
94,5052
95,1798
96,45
105,519
106,1250
107,1956
108,2223
109,2644
110,2590
111,2132
112,3144
113,4388
114,4811
115,4196
116,405
124,8
125,1034
126,1359
127,1491
128,1610
129,2123
130,2804
131,2617
132,3589
133,3885
134,2683
135,2634
136,1790
137,230
144,116
145,1313
146,1366
147,1693
148,1594
149,2192
150,2475
151,2264
152,2486
153,2768
154,2464
155,1916
156,2237
157,1955
158,862
159,240
160,63
165,1076
166,1107
167,2091
168,1717
169,1960
170,2916
171,2003
172,2472
173,2582
174,2101
175,2188
176,2189
177,2498
178,2534
179,2277
180,1808
184,293
185,531
186,216
187,2143
188,1578
189,1680
190,2227
191,1990
192,2168
193,1571
194,2236
195,2765
196,2526
197,2976
198,2878
199,2505
200,1343
204,1200
205,825
206,908
207,2308
208,2343
209,1898
210,2068
211,2641
212,2991
213,2173
214,1974
215,2407
216,2451
217,2366
218,3286
219,1612
223,604
224,2172
225,1898
226,2080
227,2226
228,2228
229,2256
230,2107
231,1985
232,2054
233,2577
234,1899
235,2173
236,2540
237,2799
238,2187
239,1212
241,20
242,726
243,1854
244,2107
245,2179
246,2109
247,2153
248,2194
249,1965
250,1779
251,1868
252,1949
253,1968
254,2034
255,2410
256,3026
257,2426
258,3407
259,2699
260,77
261,2447
262,2473
263,2351
264,2147
265,2151
266,2126
267,2030
268,2222
269,2015
270,1846
271,1794
272,1740
273,1983
274,2078
275,2291
276,2860
277,2767
278,3205
279,3587
280,3260
281,2389
282,2364
283,2400
284,2471
285,1993
286,1856
287,1992
288,1984
289,1819
290,2030
291,2366
292,2031
293,2034
294,2122
295,2344
296,2427
297,1996
298,2559
299,2561
300,2589
301,2138
302,2129
303,2266
304,2051
305,1757
306,1651
307,1663
308,1680
309,1713
310,1547
311,2394
312,2592
313,1994
314,2154
315,1678
316,2121
317,1987
318,1851
319,2007
320,2099
321,1151
322,1205
323,1350
324,1531
325,1166
326,1344
327,1288
328,1358
329,1142
330,2205
331,1117
332,1087
333,1511
334,1761
335,2149
336,1836
337,1515
338,1293
339,1525
340,1548
341,678
342,840
343,960
344,994
345,708
346,1081
347,949
348,860
349,1071
350,790
351,876
352,769
353,754
354,1011
355,1105
356,1319
357,1273
358,1219
359,1427
360,1447
361,444
362,385
363,262
364,424
365,197
366,457
367,561
368,580
369,612
370,447
371,499
372,531
373,739
374,1066
375,1160
376,1103
377,1126
378,1500
379,1326
380,1374
381,221
382,170
383,192
384,174
385,179
386,152
387,84
388,218
389,437
390,655
391,658
392,422
393,215
394,225
395,223
396,247
397,15
398,768
399,72
400,352
