grid_id,target,model,val_accuracy,val_f1_macro,val_f1_weighted,test_accuracy,test_f1_macro,test_f1_weighted,train_time_s,train_rows_resampled,val_rows,test_rows
Grid_107,temp_qc,HistGradientBoosting,0.9823,0.9725,0.983,0.774,0.2909,0.8725,616.35,192192,33917,43524
Grid_107,temp_qc,LinearSVC,0.9007,0.4879,0.8538,0.9997,0.4999,0.9996,63.61,192192,33917,43524
Grid_107,temp_qc,GaussianNB,0.5722,0.5029,0.6593,0.6364,0.2593,0.7776,2.42,692452,33917,43524
Grid_107,temp_qc,MLP,0.883,0.7693,0.8996,0.4986,0.2218,0.6653,45318.47,692452,33917,43524
Grid_107,psal_qc,HistGradientBoosting,0.8891,0.5464,0.9045,0.5131,0.2261,0.6781,284.73,192192,33917,43524
Grid_107,psal_qc,LinearSVC,0.8976,0.2374,0.8494,0.9997,0.4999,0.9996,66.73,192192,33917,43524
Grid_107,psal_qc,GaussianNB,0.6012,0.5089,0.6815,0.6781,0.2694,0.8079,1.22,690188,33917,43524
Grid_107,psal_qc,MLP,0.8649,0.7288,0.8855,0.4984,0.2218,0.6652,5669.11,690188,33917,43524
Grid_109,temp_qc,HistGradientBoosting,0.7812,0.3167,0.8368,0.6396,0.1951,0.7801,37.76,425745,75132,66628
Grid_109,temp_qc,LinearSVC,0.9398,0.2475,0.9121,0.9995,0.3333,0.9995,130.92,425745,75132,66628
Grid_109,temp_qc,GaussianNB,0.5685,0.4001,0.6942,0.5038,0.1675,0.67,5.03,1600796,75132,66628
Grid_109,temp_qc,MLP,0.9342,0.4942,0.9434,0.6488,0.1968,0.7869,50210.07,1600796,75132,66628
Grid_109,psal_qc,HistGradientBoosting,0.9018,0.6218,0.9205,0.7284,0.2107,0.8428,232.06,425745,75132,66628
Grid_109,psal_qc,LinearSVC,0.9388,0.2483,0.9109,0.9995,0.3332,0.9995,140.5,425745,75132,66628
Grid_109,psal_qc,GaussianNB,0.5635,0.3452,0.6984,0.5219,0.1715,0.6858,3.16,1599176,75132,66628
Grid_109,psal_qc,MLP,0.9318,0.5621,0.9416,0.6814,0.2026,0.8104,22193.17,1599176,75132,66628
Grid_108,temp_qc,HistGradientBoosting,0.9692,0.9312,0.9725,0.8311,0.3026,0.9074,511.81,231404,40837,50097
Grid_108,temp_qc,LinearSVC,0.9453,0.243,0.9188,0.9996,0.4999,0.9994,70.25,231404,40837,50097
Grid_108,temp_qc,GaussianNB,0.5333,0.2318,0.6599,0.5397,0.1753,0.7009,3.02,875056,40837,50097
Grid_108,temp_qc,MLP,0.8966,0.6326,0.9165,0.7014,0.2061,0.8242,45814.19,875056,40837,50097
Grid_108,psal_qc,HistGradientBoosting,0.9804,0.9346,0.9816,0.8334,0.303,0.9088,570.92,231404,40837,50097
Grid_108,psal_qc,LinearSVC,0.9351,0.2416,0.9037,0.9996,0.4999,0.9994,94.59,231404,40837,50097
Grid_108,psal_qc,GaussianNB,0.5988,0.264,0.7027,0.5866,0.1849,0.7393,5.13,865504,40837,50097
Grid_108,psal_qc,MLP,0.8922,0.6181,0.911,0.703,0.2064,0.8253,10420.13,865504,40837,50097
Grid_110,temp_qc,HistGradientBoosting,0.8823,0.5995,0.9151,0.8063,0.2232,0.8928,149.07,510580,90103,172654
