grid_id,target,model,val_accuracy,val_f1_macro,val_f1_weighted,test_accuracy,test_f1_macro,test_f1_weighted,train_time_s,train_rows_resampled,val_rows,test_rows
Grid_107,psal_qc,RandomForest,0.8928,0.7652,0.9077,0.53,0.2318,0.6925,261.36,690188,33917,43524
Grid_107,temp_qc,LightGBM,0.8624,0.741,0.885,0.5721,0.2427,0.7278,53.86,692452,33917,43524
Grid_108,psal_qc,RandomForest,0.8997,0.6553,0.9174,0.7408,0.2128,0.8508,464.68,865504,40837,50097
Grid_108,temp_qc,RandomForest,0.8969,0.6806,0.918,0.7359,0.212,0.8476,487.51,875056,40837,50097
Grid_109,psal_qc,RandomForest,0.933,0.6462,0.9424,0.8348,0.2275,0.9098,662.82,1599176,75132,66628
Grid_109,temp_qc,RandomForest,0.9349,0.6062,0.9441,0.8073,0.2234,0.8932,679.01,1600796,75132,66628
Grid_110,psal_qc,LogisticRegression,0.6919,0.4357,0.7849,0.6331,0.3981,0.769,191.36,613268,90103,172654
Grid_110,temp_qc,XGBoost,0.9765,0.7858,0.9771,0.9382,0.242,0.9681,32.33,582572,90103,172654
Grid_127,psal_qc,XGBoost,0.9864,0.8892,0.9863,0.8308,0.2274,0.8147,11.47,267422,41787,153138
Grid_127,temp_qc,XGBoost,0.9842,0.8766,0.9844,0.9229,0.32,0.9597,3.96,267414,41787,153138
Grid_128,psal_qc,RandomForest,0.959,0.4288,0.9698,0.7456,0.2198,0.7046,575.71,1182832,52988,161666
Grid_128,temp_qc,CatBoost,0.9355,0.4227,0.9586,0.8764,0.2337,0.9338,548.1,1187752,52988,161666
Grid_129,psal_qc,LogisticRegression,0.6905,0.3284,0.7988,0.7281,0.3265,0.7889,578.94,1259932,56766,200344
Grid_129,temp_qc,RandomForest,0.9308,0.4423,0.9506,0.9079,0.2379,0.9515,507.96,1259876,56766,200344
Grid_130,psal_qc,RandomForest,0.9529,0.6993,0.9625,0.8518,0.2402,0.8836,485.44,1245384,56430,208374
Grid_130,temp_qc,RandomForest,0.9484,0.6329,0.9594,0.8779,0.2337,0.9349,617.74,1245244,56430,208374
Grid_147,psal_qc,XGBoost,0.982,0.913,0.9849,0.7437,0.419,0.7391,134.57,1093952,49440,146433
Grid_147,temp_qc,RandomForest,0.9832,0.6136,0.9856,0.962,0.2452,0.9803,396.71,1103740,49440,146433
Grid_148,psal_qc,RandomForest,0.9943,0.9452,0.9946,0.785,0.4262,0.7511,230.9,831540,37581,103769
Grid_148,temp_qc,RandomForest,0.9743,0.5854,0.9832,0.9126,0.2386,0.9538,313.79,837772,37581,103769
Grid_149,psal_qc,RandomForest,0.9882,0.6478,0.9912,0.8936,0.236,0.866,322.58,919890,54394,171021
Grid_149,temp_qc,RandomForest,0.9853,0.5937,0.9894,0.9758,0.2469,0.9873,530.24,1225932,54394,171021
Grid_150,psal_qc,LogisticRegression,0.6639,0.2932,0.7866,0.6379,0.3048,0.7488,9920.96,1075098,64088,252931
Grid_150,temp_qc,RandomForest,0.9887,0.6035,0.9902,0.9188,0.2394,0.9575,482.96,1075491,64088,252931
Grid_29,psal_qc,RandomForest,0.9632,0.7937,0.9694,0.9241,0.2413,0.9602,2042.51,3305964,158961,1219452
Grid_29,temp_qc,RandomForest,0.9965,0.7506,0.9968,0.9965,0.3374,0.998,1102.52,2560893,158961,1219452
Grid_30,psal_qc,RandomForest,0.9756,0.7632,0.9784,0.8978,0.3154,0.9461,757.81,1588480,72708,200887
Grid_30,temp_qc,RandomForest,0.9996,0.4141,0.9997,0.9996,0.4999,0.9995,741.07,1235787,72708,200887
Grid_48,psal_qc,CatBoost,0.8946,0.4764,0.9289,0.794,0.3841,0.8778,730.56,1598908,72113,278222
Grid_48,temp_qc,RandomForest,0.9468,0.4458,0.9656,0.9122,0.2385,0.9529,806.83,1619400,72113,278222
Grid_49,psal_qc,LightGBM,0.9167,0.6358,0.9347,0.8243,0.2592,0.8919,169.3,2098888,97026,253887
Grid_49,temp_qc,RandomForest,0.9738,0.427,0.9833,0.9409,0.2433,0.9693,1153.83,2189380,97026,253887
Grid_50,psal_qc,RandomForest,0.9192,0.5876,0.9385,0.8938,0.236,0.9439,2515.14,4127344,189090,330833
Grid_50,temp_qc,LightGBM,0.9552,0.3497,0.9734,0.9433,0.2533,0.97,351.4,4267064,189090,330833
Grid_51,psal_qc,RandomForest,0.9909,0.9231,0.9911,0.9692,0.3281,0.9843,116.52,205580,36279,25999
Grid_51,temp_qc,RandomForest,0.9999,0.4444,0.9998,0.9998,0.4999,0.9997,624.47,616677,36279,25999
Grid_67,psal_qc,RandomForest,0.9811,0.8733,0.9822,0.8698,0.234,0.8836,3274.14,955276,45457,208652
Grid_67,temp_qc,RandomForest,0.9874,0.7303,0.9893,0.9759,0.247,0.9863,2807.07,1014396,45457,208652
Grid_68,psal_qc,RandomForest,0.9604,0.7202,0.97,0.7417,0.2839,0.6735,3410.24,953406,57162,132289
Grid_68,temp_qc,RandomForest,0.9729,0.7325,0.9806,0.9549,0.4885,0.9769,4158.48,1283416,57162,132289
Grid_69,psal_qc,RandomForest,0.9404,0.556,0.9589,0.8409,0.25,0.842,8513.55,3845484,172371,285119
Grid_69,temp_qc,RandomForest,0.9731,0.5968,0.9805,0.938,0.242,0.968,68827.32,3864800,172371,285119
Grid_70,psal_qc,RandomForest,0.969,0.5981,0.9765,0.9352,0.2416,0.9665,8323.75,3958624,177317,154359
Grid_70,temp_qc,RandomForest,0.9626,0.4098,0.9739,0.9423,0.2504,0.9698,70773.07,3975148,177317,154359
Grid_87,psal_qc,RandomForest,0.9172,0.739,0.9259,0.8222,0.3027,0.9023,3633.62,604924,29478,101442
Grid_87,temp_qc,RandomForest,0.9161,0.7705,0.9281,0.808,0.2991,0.8937,2925.49,618228,29478,101442
Grid_88,psal_qc,RandomForest,0.927,0.7225,0.9366,0.8186,0.3001,0.9002,3524.96,664392,31958,99569
Grid_88,temp_qc,RandomForest,0.9252,0.6338,0.9368,0.7841,0.293,0.879,3051.56,675888,31958,99569
Grid_89,psal_qc,RandomForest,0.9339,0.7158,0.9471,0.8215,0.3007,0.9018,4508.66,1462744,67745,95904
Grid_89,temp_qc,RandomForest,0.9448,0.7485,0.9545,0.8201,0.3006,0.9009,59066.17,1462120,67745,95904
Grid_90,psal_qc,RandomForest,0.9518,0.6592,0.9614,0.8999,0.3158,0.9473,64531.67,2424068,110342,308240
Grid_90,temp_qc,RandomForest,0.9521,0.619,0.9622,0.8847,0.2347,0.9388,63246.67,2430440,110342,308240
