grid_id,target,model,val_accuracy,val_f1_macro,val_f1_weighted,test_accuracy,test_f1_macro,test_f1_weighted,train_time_s,train_rows_resampled,val_rows,test_rows
Grid_108,temp_qc,RandomForest,0.8969,0.6806,0.918,0.7359,0.212,0.8476,487.51,875056,40837,50097
Grid_108,temp_qc,ExtraTrees,0.8559,0.5591,0.8901,0.7096,0.2075,0.8299,149.92,875056,40837,50097
Grid_108,temp_qc,XGBoost,0.9065,0.7406,0.925,0.6413,0.1954,0.7812,168.59,875056,40837,50097
Grid_108,temp_qc,CatBoost,0.8107,0.4638,0.8603,0.5646,0.1804,0.7215,448.98,875056,40837,50097
Grid_108,temp_qc,LightGBM,0.8986,0.7152,0.9195,0.6759,0.2017,0.8063,72.17,875056,40837,50097
Grid_108,temp_qc,LogisticRegression,0.5577,0.2421,0.6773,0.6148,0.1904,0.7612,1044.5,875056,40837,50097
Grid_108,psal_qc,RandomForest,0.8997,0.6553,0.9174,0.7408,0.2128,0.8508,464.68,865504,40837,50097
Grid_108,psal_qc,ExtraTrees,0.857,0.5397,0.8874,0.7158,0.2086,0.8341,120.8,865504,40837,50097
Grid_108,psal_qc,XGBoost,0.9119,0.6875,0.9267,0.6699,0.2006,0.8021,141.15,865504,40837,50097
Grid_108,psal_qc,CatBoost,0.814,0.4705,0.8588,0.6003,0.1876,0.75,429.51,865504,40837,50097
Grid_108,psal_qc,LightGBM,0.8945,0.6846,0.9141,0.6889,0.2039,0.8155,74.22,865504,40837,50097
Grid_108,psal_qc,LogisticRegression,0.5912,0.2586,0.6989,0.6033,0.1882,0.7524,1881.66,865504,40837,50097
Grid_107,temp_qc,RandomForest,0.8973,0.7718,0.9119,0.5483,0.2369,0.7079,189.4,692452,33917,43524
Grid_107,temp_qc,ExtraTrees,0.8162,0.6749,0.8519,0.4717,0.2143,0.6407,70.69,692452,33917,43524
Grid_107,temp_qc,XGBoost,0.887,0.7671,0.904,0.4461,0.2057,0.6169,88.51,692452,33917,43524
Grid_107,temp_qc,CatBoost,0.7905,0.6652,0.8328,0.3738,0.1814,0.5441,324.52,692452,33917,43524
Grid_107,temp_qc,LightGBM,0.8624,0.741,0.885,0.5721,0.2427,0.7278,53.86,692452,33917,43524
Grid_107,temp_qc,LogisticRegression,0.5146,0.5067,0.6153,0.3125,0.159,0.4758,871.59,692452,33917,43524
Grid_107,psal_qc,RandomForest,0.8928,0.7652,0.9077,0.53,0.2318,0.6925,261.36,690188,33917,43524
Grid_107,psal_qc,ExtraTrees,0.8092,0.6708,0.8457,0.4533,0.2086,0.6235,83.39,690188,33917,43524
Grid_107,psal_qc,XGBoost,0.8815,0.7629,0.8994,0.422,0.1979,0.5935,109.66,690188,33917,43524
Grid_107,psal_qc,CatBoost,0.7821,0.6584,0.8259,0.373,0.1812,0.5433,348.85,690188,33917,43524
Grid_107,psal_qc,LightGBM,0.8662,0.4905,0.8877,0.5145,0.2265,0.6794,62.01,690188,33917,43524
Grid_107,psal_qc,LogisticRegression,0.5238,0.5098,0.6232,0.3102,0.1582,0.4732,793.99,690188,33917,43524
Grid_109,temp_qc,RandomForest,0.9349,0.6062,0.9441,0.8073,0.2234,0.8932,679.01,1600796,75132,66628
Grid_109,temp_qc,ExtraTrees,0.8958,0.4149,0.9151,0.7549,0.2151,0.8602,275.12,1600796,75132,66628
Grid_109,temp_qc,XGBoost,0.9278,0.532,0.9393,0.6985,0.2056,0.8224,349.74,1600796,75132,66628
Grid_109,temp_qc,CatBoost,0.8691,0.3636,0.8975,0.6328,0.1938,0.775,957.09,1600796,75132,66628
Grid_109,temp_qc,LightGBM,0.922,0.5387,0.935,0.7345,0.2117,0.8468,136.81,1600796,75132,66628
Grid_109,temp_qc,LogisticRegression,0.627,0.2534,0.7313,0.5526,0.1838,0.7118,3524.74,1600796,75132,66628
Grid_109,psal_qc,RandomForest,0.933,0.6462,0.9424,0.8348,0.2275,0.9098,662.82,1599176,75132,66628
Grid_109,psal_qc,ExtraTrees,0.8847,0.6025,0.9072,0.7382,0.2124,0.8492,183.54,1599176,75132,66628
Grid_109,psal_qc,XGBoost,0.9269,0.6428,0.9385,0.7064,0.207,0.8278,227.45,1599176,75132,66628
Grid_109,psal_qc,CatBoost,0.8749,0.4475,0.9008,0.6248,0.1923,0.769,746.91,1599176,75132,66628
Grid_109,psal_qc,LightGBM,0.9195,0.6352,0.9329,0.7286,0.2108,0.8429,110.8,1599176,75132,66628
Grid_109,psal_qc,LogisticRegression,0.7111,0.2855,0.79,0.6462,0.1963,0.785,3549.27,1599176,75132,66628
Grid_110,temp_qc,RandomForest,0.866,0.5951,0.9042,0.8053,0.223,0.8921,79.8,582572,90103,172654
Grid_110,temp_qc,ExtraTrees,0.7874,0.5312,0.854,0.7326,0.2114,0.8456,31.42,582572,90103,172654
Grid_110,temp_qc,XGBoost,0.9765,0.7858,0.9771,0.9382,0.242,0.9681,32.33,582572,90103,172654
