GRID_ID,MODEL,TEMP_ACC,TEMP_F1,PSAL_ACC,PSAL_F1,EXACT_MATCH,TIME_SECONDS
33,Decision Tree,0.9875,0.9873,0.9868,0.9866,0.9868,0.08
33,Random Forest,0.9892,0.989,0.9892,0.989,0.9892,1.07
33,SVM,0.9007,0.8808,0.8994,0.8755,0.8994,0.28
33,CATBOOST,0.9895,0.9893,0.9902,0.99,0.9892,2.42
33,KNN,0.9766,0.9762,0.9759,0.9755,0.9759,0.03
33,GAUSSIAN NB,0.8557,0.8765,0.8052,0.8482,0.8035,0.01
33,LIGHT GBM,0.9925,0.9925,0.9922,0.9921,0.9922,3.64
33,EXTRA TREES,0.9912,0.9911,0.9912,0.9911,0.9912,0.29
33,ADA BOOST,0.8872,0.8709,0.8682,0.8409,0.8249,3.12
33,LOGISTIC REGRESSION,0.8049,0.7475,0.8299,0.7766,0.8008,0.61
34,Decision Tree,0.9865,0.9864,0.9865,0.9864,0.9865,0.12
34,Random Forest,0.9894,0.9893,0.9894,0.9894,0.9894,1.08
34,SVM,0.8249,0.7483,0.8261,0.7516,0.8249,2.14
34,CATBOOST,0.99,0.99,0.9888,0.9888,0.9888,2.37
34,KNN,0.98,0.98,0.98,0.98,0.98,0.03
34,GAUSSIAN NB,0.8913,0.9029,0.8032,0.8359,0.8026,0.01
34,LIGHT GBM,0.9859,0.9858,0.9877,0.9876,0.9859,27.9
34,EXTRA TREES,0.9882,0.9882,0.9882,0.9882,0.9882,0.23
34,ADA BOOST,0.9013,0.9083,0.9083,0.9007,0.8696,1.13
34,LOGISTIC REGRESSION,0.9072,0.906,0.9454,0.9468,0.9007,0.56
35,Decision Tree,0.9909,0.9903,0.9909,0.9903,0.9909,0.04
35,Random Forest,0.9936,0.9926,0.9936,0.9926,0.9936,0.57
35,SVM,0.9882,0.983,0.9882,0.983,0.9882,0.13
35,CATBOOST,0.9936,0.9926,0.9936,0.9926,0.9936,2.21
35,KNN,0.9854,0.98,0.9845,0.9795,0.9845,0.02
35,GAUSSIAN NB,0.8825,0.9269,0.8807,0.9259,0.8798,0.01
35,LIGHT GBM,0.9964,0.996,0.9954,0.9949,0.9954,26.66
35,EXTRA TREES,0.9954,0.9949,0.9954,0.9949,0.9954,0.11
35,ADA BOOST,0.9581,0.9677,0.9581,0.9677,0.9581,0.71
35,LOGISTIC REGRESSION,0.9891,0.9847,0.9891,0.9847,0.9891,0.41
53,Decision Tree,0.9675,0.9625,0.9538,0.9467,0.9535,4.68
53,Random Forest,0.9752,0.9719,0.9708,0.9672,0.9705,64.24
53,SVM,0.9046,0.8807,0.8851,0.8529,0.8798,28.44
53,CATBOOST,0.9765,0.9731,0.9732,0.9697,0.9708,44.85
53,KNN,0.9682,0.9637,0.9511,0.9456,0.9509,3.46
53,GAUSSIAN NB,0.8484,0.8561,0.8489,0.8466,0.833,0.36
53,LIGHT GBM,0.9777,0.9741,0.9747,0.9709,0.9738,180.24
53,EXTRA TREES,0.9672,0.964,0.9628,0.9595,0.9622,28.97
53,ADA BOOST,0.9387,0.9293,0.9152,0.9007,0.9064,158.02
53,LOGISTIC REGRESSION,0.9055,0.8802,0.8871,0.8572,0.8826,16.75
54,Decision Tree,0.9561,0.9531,0.9552,0.9532,0.9509,16.87
54,Random Forest,0.9809,0.9807,0.9845,0.9843,0.9799,184.89
54,SVM,0.7793,0.7367,0.7775,0.7275,0.7584,83.3
54,CATBOOST,0.9718,0.9712,0.9735,0.973,0.965,113.47
54,KNN,0.9635,0.9608,0.9638,0.962,0.9591,12.67
54,GAUSSIAN NB,0.7702,0.7472,0.7697,0.7456,0.75,0.82
54,LIGHT GBM,0.9725,0.9719,0.9728,0.9722,0.9658,25.44
54,EXTRA TREES,0.9776,0.9774,0.9818,0.9816,0.9767,159.28
54,ADA BOOST,0.9251,0.9144,0.9055,0.8974,0.8882,317.46
54,LOGISTIC REGRESSION,0.7911,0.7622,0.7843,0.7388,0.7569,81.49
55,Decision Tree,0.9259,0.9222,0.9034,0.9021,0.8936,32.55
55,Random Forest,0.975,0.9748,0.9743,0.9742,0.966,317.86
55,SVM,0.6773,0.6357,0.6607,0.6022,0.6261,171.76
55,CATBOOST,0.9581,0.9575,0.9478,0.9472,0.9348,108.76
55,KNN,0.9482,0.9457,0.9299,0.9286,0.9224,11.08
55,GAUSSIAN NB,0.67,0.6375,0.6742,0.6369,0.6393,2.68
55,LIGHT GBM,0.9572,0.9565,0.944,0.9435,0.9326,567.46
55,EXTRA TREES,0.9708,0.9706,0.971,0.9709,0.9619,309.59
55,ADA BOOST,0.8839,0.8715,0.815,0.8113,0.7868,353.91
55,LOGISTIC REGRESSION,0.7008,0.6618,0.6879,0.6399,0.6327,160.93
56,Decision Tree,0.9358,0.9315,0.9177,0.9147,0.9122,98.41
56,Random Forest,0.9758,0.9752,0.9735,0.973,0.969,489.22
56,SVM,0.7675,0.7343,0.743,0.6975,0.7323,318.51
56,CATBOOST,0.9561,0.9541,0.9452,0.9436,0.9352,209.65
56,KNN,0.959,0.957,0.9448,0.9434,0.9406,25.38
56,GAUSSIAN NB,0.7371,0.7258,0.7412,0.7213,0.7132,1.52
56,LIGHT GBM,0.9538,0.9519,0.94,0.9382,0.9322,55.29
56,EXTRA TREES,0.9701,0.9694,0.9683,0.9677,0.9636,461.42
56,ADA BOOST,0.8974,0.8879,0.8519,0.8453,0.8288,1011.22
56,LOGISTIC REGRESSION,0.7703,0.737,0.7334,0.6897,0.7185,137.93
73,Decision Tree,0.9528,0.9476,0.9434,0.9374,0.9429,39.22
73,Random Forest,0.9766,0.9743,0.9734,0.9716,0.973,248.0
73,SVM,0.8766,0.8585,0.8578,0.8294,0.8538,287.48
73,CATBOOST,0.9691,0.9658,0.963,0.9601,0.9592,125.87
73,KNN,0.9711,0.9698,0.9607,0.959,0.96,10.76
73,GAUSSIAN NB,0.8449,0.8465,0.8434,0.8395,0.8285,0.77
73,LIGHT GBM,0.9694,0.9664,0.9619,0.9586,0.9592,24.85
73,EXTRA TREES,0.9684,0.9654,0.9657,0.9633,0.9652,159.96
73,ADA BOOST,0.9333,0.9254,0.911,0.9042,0.8965,413.19
73,LOGISTIC REGRESSION,0.8692,0.8469,0.8566,0.8265,0.8494,127.89
74,Decision Tree,0.9599,0.9588,0.9389,0.9379,0.9305,42.21
74,Random Forest,0.9875,0.9875,0.9847,0.9846,0.9793,472.43
74,SVM,0.8107,0.7967,0.7475,0.7049,0.7303,347.18
74,CATBOOST,0.9786,0.9785,0.9656,0.9654,0.957,252.6
74,KNN,0.9718,0.9714,0.9555,0.9552,0.9496,26.4
74,GAUSSIAN NB,0.721,0.7346,0.7153,0.7107,0.6734,1.28
74,LIGHT GBM,0.9752,0.975,0.9628,0.9625,0.9541,123.51
74,EXTRA TREES,0.9861,0.9861,0.9845,0.9845,0.978,283.99
74,ADA BOOST,0.9146,0.9149,0.8562,0.8474,0.83,592.99
74,LOGISTIC REGRESSION,0.8446,0.8369,0.7565,0.7237,0.7266,248.85
75,Decision Tree,0.9558,0.9534,0.956,0.9549,0.944,22.75
75,Random Forest,0.9815,0.9815,0.9891,0.989,0.9791,175.02
75,SVM,0.7808,0.7727,0.7845,0.7647,0.7214,160.97
75,CATBOOST,0.9774,0.9774,0.9853,0.9853,0.9728,72.78
75,KNN,0.9591,0.9563,0.9581,0.9568,0.9468,7.34
75,GAUSSIAN NB,0.7075,0.6903,0.7418,0.7443,0.6462,0.84
75,LIGHT GBM,0.9757,0.9757,0.9851,0.985,0.9712,14.58
75,EXTRA TREES,0.9763,0.9763,0.9865,0.9864,0.9733,290.4
75,ADA BOOST,0.8559,0.8811,0.9354,0.9331,0.8249,184.67
75,LOGISTIC REGRESSION,0.8423,0.8341,0.7998,0.7945,0.735,112.09
76,Decision Tree,0.9972,0.997,0.9972,0.997,0.9972,0.04
76,Random Forest,0.9965,0.9956,0.9965,0.9956,0.9965,0.89
76,SVM,0.9972,0.9967,0.9972,0.9967,0.9972,0.07
76,CATBOOST,0.9972,0.997,0.9972,0.997,0.9972,3.11
76,KNN,0.9979,0.9976,0.9979,0.9976,0.9979,0.03
76,GAUSSIAN NB,0.9675,0.9796,0.9675,0.9796,0.9675,0.02
76,LIGHT GBM,0.9979,0.9978,0.9979,0.9978,0.9979,221.29
76,EXTRA TREES,0.9972,0.9972,0.9972,0.9972,0.9972,0.4
76,ADA BOOST,0.9972,0.997,0.9972,0.997,0.9972,2.0
76,LOGISTIC REGRESSION,0.9979,0.9976,0.9979,0.9976,0.9979,0.98
93,Decision Tree,0.9471,0.945,0.941,0.9402,0.9393,15.55
93,Random Forest,0.9776,0.9751,0.9754,0.9746,0.9751,71.14
93,SVM,0.8338,0.8015,0.782,0.7329,0.7626,95.66
93,CATBOOST,0.978,0.9753,0.9751,0.9741,0.9732,94.85
93,KNN,0.9499,0.948,0.9303,0.9279,0.9278,3.13
93,GAUSSIAN NB,0.6055,0.6593,0.7867,0.7762,0.5347,0.32
93,LIGHT GBM,0.9776,0.9755,0.9762,0.9752,0.973,7.55
93,EXTRA TREES,0.9712,0.9688,0.9692,0.9685,0.9689,63.75
93,ADA BOOST,0.8772,0.8651,0.8297,0.8113,0.7819,68.5
93,LOGISTIC REGRESSION,0.8328,0.8014,0.7891,0.741,0.7658,56.05
94,Decision Tree,0.9644,0.9636,0.962,0.9623,0.9587,10.45
94,Random Forest,0.9904,0.9897,0.9916,0.9915,0.9883,429.67
94,SVM,0.7841,0.7422,0.7979,0.7603,0.7007,55.61
94,CATBOOST,0.9905,0.9898,0.9902,0.9902,0.9862,85.97
94,KNN,0.9608,0.9601,0.9553,0.9552,0.9518,7.5
94,GAUSSIAN NB,0.7552,0.7538,0.8076,0.8023,0.6846,2.42
94,LIGHT GBM,0.991,0.9909,0.991,0.991,0.9859,31.39
94,EXTRA TREES,0.9909,0.9901,0.9924,0.9924,0.9888,115.72
94,ADA BOOST,0.815,0.8164,0.8363,0.8007,0.7157,215.14
94,LOGISTIC REGRESSION,0.8101,0.7901,0.7831,0.7484,0.7166,58.56
95,Decision Tree,0.9965,0.9964,0.9891,0.9878,0.9881,4.98
95,Random Forest,0.9972,0.997,0.9947,0.9945,0.9937,105.57
95,SVM,0.9757,0.9695,0.9565,0.9405,0.9552,14.16
95,CATBOOST,0.9973,0.9972,0.9946,0.9944,0.9937,38.25
95,KNN,0.9931,0.9909,0.98,0.9768,0.979,2.53
95,GAUSSIAN NB,0.9505,0.961,0.9185,0.9312,0.9156,0.27
95,LIGHT GBM,0.9922,0.9926,0.9955,0.9953,0.9895,11.95
95,EXTRA TREES,0.9969,0.9968,0.9948,0.9945,0.9936,29.6
95,ADA BOOST,0.1107,0.1727,0.0687,0.0709,0.0498,130.12
95,LOGISTIC REGRESSION,0.9773,0.973,0.9626,0.9515,0.9582,29.55
96,Decision Tree,0.9974,0.9961,0.9974,0.9974,0.9974,0.02
96,Random Forest,0.9974,0.9961,0.9961,0.9961,0.9961,0.17
96,SVM,0.9974,0.9961,0.9331,0.9135,0.9331,0.02
96,CATBOOST,0.9974,0.9961,0.9974,0.9974,0.9974,1.24
96,KNN,0.9974,0.9961,0.9228,0.9217,0.9215,0.01
96,GAUSSIAN NB,0.9743,0.9844,0.8958,0.9074,0.8726,0.01
96,LIGHT GBM,0.9974,0.9961,0.9974,0.9974,0.9974,2.34
96,EXTRA TREES,0.9974,0.9961,0.9961,0.9961,0.9961,0.12
96,ADA BOOST,0.9974,0.9961,0.9974,0.9974,0.9974,0.56
96,LOGISTIC REGRESSION,0.9974,0.9961,0.964,0.9604,0.964,0.18
