GRID_ID,MODEL,TEMP_ACC,TEMP_F1,PSAL_ACC,PSAL_F1,EXACT_MATCH,TIME_SECONDS
112,Decision Tree,0.9912,0.9872,0.9394,0.9356,0.939,8.01
112,Random Forest,0.993,0.991,0.9887,0.9883,0.9883,152.19
112,SVM,0.991,0.9866,0.8431,0.8134,0.8427,35.8
112,CATBOOST,0.994,0.9923,0.9879,0.9874,0.9871,52.64
112,KNN,0.991,0.9881,0.9099,0.9028,0.9094,3.99
112,GAUSSIAN NB,0.5806,0.728,0.8761,0.8589,0.5049,0.49
112,LIGHT GBM,0.9905,0.9892,0.9612,0.9653,0.9576,9.28
112,EXTRA TREES,0.9902,0.9883,0.9862,0.9859,0.9855,60.7
112,ADA BOOST,0.3688,0.5323,0.8705,0.8564,0.3265,118.43
112,LOGISTIC REGRESSION,0.991,0.9866,0.848,0.8207,0.8476,43.04
113,Decision Tree,0.9845,0.9819,0.9365,0.9349,0.9332,13.8
113,Random Forest,0.9943,0.9929,0.9909,0.9908,0.9903,249.71
113,SVM,0.9686,0.9532,0.795,0.7518,0.7949,73.0
113,CATBOOST,0.9947,0.9932,0.9825,0.9823,0.9816,85.78
113,KNN,0.9757,0.9722,0.8912,0.8866,0.8889,8.55
113,GAUSSIAN NB,0.7896,0.8584,0.7668,0.7496,0.6002,0.73
113,LIGHT GBM,0.9934,0.9927,0.9631,0.963,0.9605,16.33
113,EXTRA TREES,0.9934,0.9921,0.9906,0.9905,0.9899,136.7
113,ADA BOOST,0.9673,0.9531,0.8039,0.7796,0.8026,218.47
113,LOGISTIC REGRESSION,0.9686,0.9532,0.7944,0.7569,0.7908,92.58
114,Decision Tree,0.9815,0.978,0.9509,0.9464,0.9501,22.64
114,Random Forest,0.9922,0.9898,0.986,0.9855,0.9857,295.36
114,SVM,0.9556,0.9339,0.8829,0.8404,0.8828,87.86
114,CATBOOST,0.9941,0.993,0.9844,0.9837,0.9832,84.4
114,KNN,0.9701,0.9673,0.9335,0.9294,0.9327,5.71
114,GAUSSIAN NB,0.8902,0.9129,0.899,0.8722,0.8063,0.58
114,LIGHT GBM,0.9922,0.9915,0.9369,0.9346,0.9343,19.9
114,EXTRA TREES,0.9917,0.9893,0.9853,0.9848,0.985,173.71
114,ADA BOOST,0.5391,0.6824,0.7899,0.813,0.3905,242.9
114,LOGISTIC REGRESSION,0.9539,0.9335,0.8865,0.8473,0.8844,73.87
115,Decision Tree,0.9912,0.9894,0.9801,0.9782,0.9797,10.33
115,Random Forest,0.9948,0.994,0.9916,0.9913,0.9913,205.09
115,SVM,0.9854,0.9781,0.9663,0.9606,0.966,37.49
115,CATBOOST,0.9951,0.9947,0.9913,0.991,0.9902,78.14
115,KNN,0.9892,0.9876,0.9784,0.9769,0.9762,7.45
115,GAUSSIAN NB,0.982,0.9771,0.9311,0.9377,0.928,0.69
115,LIGHT GBM,0.9873,0.9869,0.9857,0.9854,0.978,13.59
115,EXTRA TREES,0.9946,0.9938,0.9917,0.9915,0.9913,104.88
115,ADA BOOST,0.9854,0.9781,0.8485,0.9004,0.8481,190.9
115,LOGISTIC REGRESSION,0.9854,0.9782,0.9673,0.9619,0.967,64.46
116,Decision Tree,0.9747,0.9717,0.9707,0.9683,0.9697,0.67
116,Random Forest,0.9879,0.987,0.987,0.9863,0.9867,10.7
116,SVM,0.9582,0.938,0.9421,0.9145,0.9418,1.44
116,CATBOOST,0.9964,0.9963,0.9955,0.9954,0.9942,6.1
116,KNN,0.9697,0.9673,0.9584,0.9538,0.9574,0.31
116,GAUSSIAN NB,0.904,0.913,0.8938,0.899,0.8782,0.05
116,LIGHT GBM,0.9708,0.9723,0.9644,0.9654,0.9435,3.29
116,EXTRA TREES,0.9873,0.9862,0.9862,0.9851,0.9855,3.34
116,ADA BOOST,0.9378,0.9362,0.8078,0.8487,0.784,8.91
116,LOGISTIC REGRESSION,0.9583,0.9382,0.9447,0.9209,0.9444,5.49
132,Decision Tree,0.9871,0.9844,0.9702,0.9659,0.9701,12.32
132,Random Forest,0.9906,0.9896,0.9872,0.9864,0.987,213.67
132,SVM,0.9836,0.9791,0.9549,0.9433,0.9547,39.45
