GRID_ID,MODEL,TEMP_ACC,TEMP_F1,PSAL_ACC,PSAL_F1,EXACT_MATCH,TIME_SECONDS
112,Random Forest,0.993,0.991,0.9887,0.9883,0.9883,152.19
113,Random Forest,0.9943,0.9929,0.9909,0.9908,0.9903,249.71
114,Random Forest,0.9922,0.9898,0.986,0.9855,0.9857,295.36
115,Random Forest,0.9948,0.994,0.9916,0.9913,0.9913,205.09
116,Random Forest,0.9879,0.987,0.987,0.9863,0.9867,10.7
132,Random Forest,0.9906,0.9896,0.9872,0.9864,0.987,213.67
133,Random Forest,0.991,0.9893,0.9888,0.9881,0.9881,241.97
134,Random Forest,0.9917,0.9892,0.9902,0.9885,0.9899,136.22
135,Random Forest,0.9934,0.9921,0.9892,0.988,0.9886,95.99
136,Random Forest,0.9972,0.9968,0.9933,0.9928,0.9928,75.64
137,Random Forest,0.9997,0.9996,0.9983,0.998,0.9983,4.98
152,Random Forest,0.997,0.9966,0.9967,0.9966,0.9965,149.59
153,Random Forest,0.995,0.9937,0.9943,0.9943,0.994,186.91
154,Random Forest,0.9972,0.9968,0.9963,0.9962,0.9961,166.34
155,Random Forest,0.9979,0.9976,0.997,0.9969,0.9969,88.25
156,Random Forest,0.9994,0.9994,0.9987,0.9987,0.9987,170.5
157,Random Forest,0.9994,0.9994,0.9968,0.9967,0.9966,174.61
158,Random Forest,0.9997,0.9997,0.9989,0.9989,0.9989,62.94
159,Random Forest,0.9998,0.9998,0.9997,0.9997,0.9997,15.82
160,Random Forest,0.9987,0.998,0.9993,0.999,0.9987,0.29
172,Random Forest,0.9979,0.9973,0.9953,0.9951,0.9952,217.66
173,Random Forest,0.9984,0.998,0.9952,0.9951,0.995,278.2
174,Random Forest,0.9976,0.9974,0.9953,0.9952,0.9951,276.3
175,Random Forest,0.999,0.999,0.9984,0.9983,0.9983,160.8
176,Random Forest,0.9982,0.9981,0.997,0.9969,0.9966,181.93
177,Random Forest,0.9978,0.9977,0.9926,0.9925,0.992,246.84
178,Random Forest,0.9991,0.999,0.9975,0.9975,0.9974,261.76
179,Random Forest,0.9996,0.9995,0.9978,0.9978,0.9977,221.92
180,Random Forest,0.9993,0.9992,0.997,0.997,0.9968,310.68
192,Random Forest,0.9973,0.997,0.9927,0.9926,0.9922,119.51
193,Random Forest,0.9988,0.9988,0.998,0.9979,0.9979,188.38
194,Random Forest,0.9974,0.9973,0.9964,0.9964,0.9961,197.35
195,Random Forest,0.9982,0.9981,0.9957,0.9957,0.9954,466.48
196,Random Forest,0.9986,0.9985,0.997,0.997,0.9967,433.16
197,Random Forest,0.9968,0.9963,0.9956,0.9954,0.9952,377.24
198,Random Forest,0.9993,0.9992,0.9987,0.9987,0.9986,418.95
199,Random Forest,0.9993,0.9991,0.9974,0.9974,0.9973,282.72
200,Random Forest,0.9996,0.9995,0.9969,0.9969,0.9967,157.67
212,Random Forest,0.9966,0.9964,0.9956,0.9955,0.9954,385.15
213,Random Forest,0.9964,0.9963,0.9958,0.9958,0.9956,247.04
214,Random Forest,0.9988,0.9988,0.998,0.9979,0.9979,151.87
215,Random Forest,0.9977,0.9972,0.9958,0.9957,0.9956,182.37
216,Random Forest,0.9979,0.9975,0.996,0.9959,0.9957,183.47
217,Random Forest,0.9981,0.9976,0.997,0.9969,0.997,233.93
218,Random Forest,0.9987,0.9984,0.9966,0.9966,0.9965,446.98
219,Random Forest,0.998,0.9975,0.997,0.997,0.9969,160.24
232,Random Forest,0.9995,0.9994,0.9991,0.9991,0.9991,165.94
233,Random Forest,0.9989,0.9987,0.9981,0.998,0.998,214.64
234,Random Forest,0.9988,0.9987,0.9977,0.9977,0.9976,138.22
235,Random Forest,0.9983,0.9982,0.9956,0.9956,0.9954,153.02
236,Random Forest,0.9945,0.993,0.9902,0.9897,0.9897,190.59
237,Random Forest,0.9989,0.9988,0.9973,0.9972,0.9971,371.27
238,Random Forest,0.9991,0.9989,0.9983,0.9983,0.9982,290.06
239,Random Forest,0.9987,0.9984,0.9982,0.9982,0.9981,155.04
252,Random Forest,0.998,0.9978,0.9973,0.9973,0.9972,272.47
253,Random Forest,0.999,0.9988,0.9986,0.9986,0.9985,164.51
254,Random Forest,0.999,0.9988,0.9986,0.9986,0.9985,291.39
255,Random Forest,0.9991,0.9989,0.998,0.998,0.9979,378.48
256,Random Forest,0.998,0.9974,0.9971,0.9971,0.9967,497.93
257,Random Forest,0.9984,0.998,0.9981,0.998,0.998,502.62
258,Random Forest,0.9989,0.9989,0.9988,0.9987,0.9986,510.92
259,Random Forest,0.9988,0.9988,0.997,0.997,0.9966,392.13
260,Random Forest,0.9982,0.9982,0.9982,0.9982,0.9982,1.7
272,Random Forest,0.9987,0.9985,0.9975,0.9974,0.9973,195.56
273,Random Forest,0.9963,0.9957,0.9944,0.9941,0.9939,280.21
274,Random Forest,0.9984,0.9983,0.9961,0.996,0.9959,253.81
275,Random Forest,0.9987,0.9983,0.9967,0.9967,0.9965,245.49
276,Random Forest,0.9981,0.9981,0.998,0.998,0.9968,339.13
277,Random Forest,0.9981,0.9981,0.998,0.998,0.9968,259.26
278,Random Forest,0.9962,0.9962,0.9952,0.9952,0.995,424.0
279,Random Forest,0.9979,0.9979,0.9973,0.9973,0.9969,470.53
280,Random Forest,0.9989,0.9988,0.9973,0.9973,0.9969,347.71
292,Random Forest,0.9987,0.9985,0.9944,0.9942,0.9942,113.55
293,Random Forest,0.9978,0.9976,0.9948,0.9947,0.9947,134.83
294,Random Forest,0.999,0.9989,0.997,0.997,0.9967,121.31
295,Random Forest,0.9993,0.9992,0.9976,0.9975,0.9974,167.99
296,Random Forest,0.9991,0.999,0.9974,0.9974,0.9973,212.63
297,Random Forest,0.9994,0.9992,0.9989,0.9989,0.9989,234.57
298,Random Forest,0.9995,0.9994,0.9989,0.9989,0.9989,414.64
299,Random Forest,0.9995,0.9994,0.998,0.998,0.9979,433.11
300,Random Forest,0.9995,0.9995,0.9983,0.9983,0.9982,531.25
312,Random Forest,0.9962,0.9959,0.9941,0.9939,0.9939,327.38
313,Random Forest,0.9981,0.998,0.9946,0.9945,0.9942,274.72
314,Random Forest,0.9984,0.9981,0.9947,0.9946,0.9946,293.8
315,Random Forest,0.9988,0.9987,0.9938,0.9937,0.9937,247.98
316,Random Forest,0.9981,0.9981,0.9954,0.9953,0.9952,273.7
317,Random Forest,0.9984,0.9982,0.9954,0.9953,0.9953,168.08
318,Random Forest,0.9986,0.9985,0.9964,0.9963,0.9963,133.92
319,Random Forest,0.9991,0.999,0.9968,0.9967,0.9967,129.65
320,Random Forest,0.9993,0.9992,0.9965,0.9964,0.9964,185.02
332,Random Forest,0.999,0.9989,0.9971,0.997,0.997,59.16
333,Random Forest,0.9988,0.9986,0.9964,0.9963,0.9962,101.72
334,Random Forest,0.9986,0.9984,0.9965,0.9965,0.9962,143.31
335,Random Forest,0.9987,0.9986,0.9952,0.9951,0.995,270.08
336,Random Forest,0.9969,0.9968,0.9953,0.9953,0.9952,117.27
337,Random Forest,0.9969,0.9968,0.9953,0.9953,0.9952,161.32
338,Random Forest,0.9995,0.9994,0.9981,0.9981,0.9981,74.63
339,Random Forest,0.9993,0.9993,0.9986,0.9986,0.9986,299.45
33,Random Forest,0.9892,0.989,0.9892,0.989,0.9892,1.07
340,Random Forest,0.9993,0.9993,0.9983,0.9982,0.9982,138.18
34,Random Forest,0.9894,0.9893,0.9894,0.9894,0.9894,1.08
352,Random Forest,0.9994,0.9994,0.9987,0.9987,0.9986,125.17
353,Random Forest,0.9994,0.9992,0.9979,0.9979,0.9977,79.42
